
1855: Sep. 28,Champion of the Seas ,Liverpool,Launceston,46,
1855: & Oct. 5,City of Hobart ,-,Hobart,1,
1855: Oct. 9,Ben Nevis ,Liverpool,Launceston,51,
1855: & Oct. 20,City of Hobart ,-,Hobart,12,
1855: Oct. 14,Conway,Liverpool,Hobart,296,
1855: Oct. 20,Shalimar [City of Hobart ,Liverpool,Hobart,3,
1855: Oct. 29,James Baines [Black Swan ,Liverpool,Launceston,30,
1855: & Nov. 2,City of Hobart ,-,Hobart,57,
1855: Nov. 2,San Francisco,Hamburg,Hobart,42,
1855: Nov. 14,Sussex [Royal Shepherd ,London,Launceston,8,
1855: Nov. 17,Sea Nymph,London,Hobart,14,
1855: Nov. 23,Anglesey [Royal Shepherd ,London,Launceston,2,
1855: Nov. 25,Arnon,London,Launceston,1,
1855: Nov. 26,Wellington,London,Hobart,4,
1855: Nov. 29,Lightning ,Liverpool,Launceston,20,
1855: Nov. 30,Emma ,Liverpool,Hobart,2,
1855: Dec. 2,Vice-Admiral Gobius,London,Hobart,18,
1855: Dec. 4,John Bell,Greenock,Hobart,207,
1855: Dec. 8,Red Jacket ,Liverpool,Launceston,6,
1855: Dec. 13,Derwentwater,London,Hobart,3,
1855: Dec. 31,Schomberg ,Liverpool,Launceston,15,
1855: & Jan. 4,Lady Bird ,-,Launceston,26,
1855: &. Jan. 5,City of Hobart ,-,Hobart,27,
1856: Jan. 22,Indian Queen,Liverpool via Melbourne,Hobart,59,
1856: Jan. 5,Lady Bird ,-,Launceston,24,
1856: Jan. 5,Gipsy Bride ,Liverpool,Hobart,7,
1856: Jan. 17,Sultana ,Liverpool,Hobart,3,
1856:  
         ,Black Swan ,-,Launceston,2,
1856: Jan. 19,La Hogue ,London,Hobart,2,
1856: Jan. 28,Ocean Chief ,Liverpool,Hobart,30,
1856: & Feb. 2,Lady Bird ,-,Launceston,14,
1856: Feb. 13,Mermaid ,-,Launceston,40,
1856: & Feb. 18,Ant ,-,Hobart,3,
1856: Feb. 14,Mercia,London,Hobart,3,
1856: Feb. 26,Marco Polo ,Liverpool,Hobart,8,
